age,job,marital,education,default,balance,housing,loan,month,duration,campaign,previous,deposit,binary_deposit,binary_default,binary_housing,binary_loan,balance_status,age_group
50,management,married,secondary,no,49,yes,no,5,3.0,2,0,no,0,0,1,0,low,50
54,retired,married,secondary,no,529,yes,no,5,24.87,1,0,no,0,0,1,0,medium,50
58,retired,married,other,no,96,yes,no,5,10.27,1,0,no,0,0,1,0,low,50
36,admin,single,primary,no,-171,yes,no,5,4.03,1,0,no,0,0,1,0,negative,30
58,self-employed,married,tertiary,no,-364,yes,no,5,5.92,1,0,no,0,0,1,0,negative,50
44,technician,married,secondary,no,0,yes,no,5,3.75,2,0,no,0,0,1,0,negative,40
55,technician,divorced,secondary,no,0,no,no,5,2.67,1,0,no,0,0,0,0,negative,50
29,management,single,tertiary,no,0,yes,no,5,6.05,1,0,no,0,0,1,0,negative,20
54,blue-collar,married,secondary,no,1291,yes,no,5,4.43,1,0,no,0,0,1,0,high,50
48,management,divorced,tertiary,no,-244,yes,no,5,4.22,1,0,no,0,0,1,0,negative,40
32,management,married,tertiary,no,0,yes,no,5,2.98,1,0,no,0,0,1,0,negative,30
42,admin,single,secondary,no,-76,yes,no,5,13.12,1,0,no,0,0,1,0,negative,40
24,technician,single,secondary,no,-103,yes,yes,5,2.42,1,0,no,0,0,1,1,negative,20
38,entrepreneur,single,tertiary,no,243,no,yes,5,2.9,1,0,no,0,0,0,1,low,30
38,management,single,tertiary,no,424,yes,no,5,1.73,1,0,no,0,0,1,0,medium,30
40,blue-collar,single,other,no,24,yes,no,5,3.08,1,0,no,0,0,1,0,low,40
46,services,married,primary,no,179,yes,no,5,29.63,1,0,no,0,0,1,0,low,40
32,admin,married,tertiary,no,0,yes,no,5,2.3,1,0,no,0,0,1,0,negative,30
53,technician,divorced,secondary,no,989,yes,no,5,13.53,1,0,no,0,0,1,0,high,50
57,blue-collar,married,primary,no,249,yes,no,5,2.73,1,0,no,0,0,1,0,low,50
33,services,married,secondary,no,790,yes,no,5,6.52,1,0,no,0,0,1,0,high,30
49,blue-collar,married,other,no,154,yes,no,5,5.95,1,0,no,0,0,1,0,low,40
51,management,married,tertiary,no,6530,yes,no,5,1.52,1,0,no,0,0,1,0,very high,50
60,retired,married,tertiary,no,100,no,no,5,8.8,1,0,no,0,0,0,0,low,60
59,management,divorced,tertiary,no,59,yes,no,5,4.55,1,0,no,0,0,1,0,low,50
55,technician,married,secondary,no,1205,yes,no,5,2.63,2,0,no,0,0,1,0,high,50
57,blue-collar,married,secondary,no,5935,yes,yes,5,4.3,1,0,no,0,0,1,1,very high,50
31,services,married,secondary,no,25,yes,yes,5,2.87,1,0,no,0,0,1,1,low,30
54,management,married,secondary,no,282,yes,yes,5,2.57,1,0,no,0,0,1,1,medium,50
55,blue-collar,married,primary,no,23,yes,no,5,4.85,1,0,no,0,0,1,0,low,50
43,technician,married,secondary,no,1937,yes,no,5,3.02,1,0,no,0,0,1,0,very high,40
53,technician,married,secondary,no,384,yes,no,5,2.93,1,0,no,0,0,1,0,medium,50
44,blue-collar,married,secondary,no,582,no,yes,5,3.52,1,0,no,0,0,0,1,medium,40
55,services,divorced,secondary,no,91,no,no,5,5.82,1,0,no,0,0,0,0,low,50
49,services,divorced,secondary,no,0,yes,yes,5,4.53,1,0,no,0,0,1,1,negative,40
55,services,divorced,secondary,yes,1,yes,no,5,3.47,1,0,no,0,1,1,0,low,50
45,admin,single,secondary,no,206,yes,no,5,3.22,1,0,no,0,0,1,0,low,40
47,services,divorced,secondary,no,164,no,no,5,3.53,1,0,no,0,0,0,0,low,40
59,admin,married,secondary,no,2343,yes,no,5,17.37,1,0,yes,1,0,1,0,very high,50
46,self-employed,married,tertiary,no,137,yes,yes,5,4.1,1,0,no,0,0,1,1,low,40
51,blue-collar,married,primary,no,173,yes,no,5,8.82,2,0,no,0,0,1,0,low,50
56,admin,married,secondary,no,45,no,no,5,24.45,1,0,yes,1,0,0,0,low,50
41,technician,married,secondary,no,1270,yes,no,5,23.15,1,0,yes,1,0,1,0,high,40
46,management,divorced,secondary,no,16,yes,yes,5,3.13,2,0,no,0,0,1,1,low,40
57,retired,married,secondary,no,486,yes,no,5,3.0,2,0,no,0,0,1,0,medium,50
42,management,single,secondary,no,50,no,no,5,0.8,1,0,no,0,0,0,0,low,40
30,technician,married,secondary,no,152,yes,yes,5,3.55,2,0,no,0,0,1,1,low,30
60,admin,married,secondary,no,290,yes,no,5,9.72,1,0,no,0,0,1,0,medium,60
60,blue-collar,married,other,no,54,yes,no,5,3.68,1,0,no,0,0,1,0,low,60
57,entrepreneur,divorced,secondary,no,-37,no,no,5,2.88,1,0,no,0,0,0,0,negative,50
36,management,married,tertiary,no,101,yes,yes,5,7.1,1,0,no,0,0,1,1,low,30
55,blue-collar,married,secondary,no,383,no,no,5,4.78,1,0,no,0,0,0,0,medium,50
60,retired,married,tertiary,no,81,yes,no,5,1.68,1,0,no,0,0,1,0,low,60
39,technician,married,secondary,no,0,yes,no,5,3.38,1,0,no,0,0,1,0,negative,30
46,management,married,tertiary,no,229,yes,no,5,3.28,1,0,no,0,0,1,0,low,40
44,blue-collar,married,secondary,no,-674,yes,no,5,4.28,1,0,no,0,0,1,0,negative,40
53,blue-collar,married,primary,no,90,no,no,5,2.07,1,0,no,0,0,0,0,low,50
52,blue-collar,married,primary,no,128,yes,no,5,3.82,1,0,no,0,0,1,0,low,50
59,blue-collar,married,primary,no,179,yes,no,5,0.92,3,0,no,0,0,1,0,low,50
27,technician,single,tertiary,no,0,yes,no,5,6.67,1,0,no,0,0,1,0,negative,20
44,blue-collar,married,secondary,no,54,yes,no,5,3.28,1,0,no,0,0,1,0,low,40
47,technician,married,tertiary,no,151,yes,no,5,3.17,1,0,no,0,0,1,0,low,40
59,retired,single,secondary,no,30,yes,no,5,8.57,1,0,no,0,0,1,0,low,50
45,management,married,tertiary,no,523,yes,no,5,14.15,2,0,no,0,0,1,0,medium,40
29,services,divorced,secondary,no,31,yes,no,5,3.23,1,0,no,0,0,1,0,low,20
46,technician,divorced,secondary,no,79,no,no,5,2.4,1,0,no,0,0,0,0,low,40
56,self-employed,married,primary,no,-34,yes,yes,5,3.53,2,0,no,0,0,1,1,negative,50
36,blue-collar,married,primary,no,448,yes,no,5,4.77,1,0,no,0,0,1,0,medium,30
59,retired,divorced,primary,no,81,yes,no,5,1.78,1,0,no,0,0,1,0,low,50
44,blue-collar,married,secondary,no,144,yes,no,5,4.12,2,0,no,0,0,1,0,low,40
41,admin,married,secondary,no,351,yes,no,5,8.63,1,0,no,0,0,1,0,medium,40
33,management,single,tertiary,no,-67,yes,no,5,6.07,1,0,no,0,0,1,0,negative,30
59,management,divorced,tertiary,no,262,no,no,5,2.97,1,0,no,0,0,0,0,medium,50
57,technician,married,primary,no,0,no,no,5,1.63,1,0,no,0,0,0,0,negative,50
56,technician,divorced,other,no,56,yes,no,5,7.32,1,0,no,0,0,1,0,low,50
51,blue-collar,married,secondary,no,26,yes,no,5,1.32,1,0,no,0,0,1,0,low,50
34,admin,married,other,no,3,yes,no,5,2.0,3,0,no,0,0,1,0,low,30
43,services,married,secondary,no,41,yes,yes,5,2.12,2,0,no,0,0,1,1,low,40
52,technician,married,tertiary,no,7,no,yes,5,2.92,1,0,no,0,0,0,1,low,50
33,technician,single,secondary,no,105,yes,no,5,4.37,2,0,no,0,0,1,0,low,30
29,admin,single,secondary,no,818,yes,yes,5,1.02,1,0,no,0,0,1,1,high,20
34,services,married,secondary,no,-16,yes,yes,5,1.3,1,0,no,0,0,1,1,negative,30
31,blue-collar,married,secondary,no,0,yes,no,5,2.38,1,0,no,0,0,1,0,negative,30
55,services,married,secondary,no,2476,yes,no,5,9.65,1,0,yes,1,0,1,0,very high,50
55,management,married,other,no,1185,no,no,5,11.28,1,0,no,0,0,0,0,high,50
32,admin,single,secondary,no,217,yes,no,5,5.75,1,0,no,0,0,1,0,low,30
38,technician,single,secondary,no,1685,yes,no,5,3.08,1,0,no,0,0,1,0,high,30
55,admin,single,secondary,no,802,yes,yes,5,1.67,2,0,no,0,0,1,1,high,50
28,unemployed,single,tertiary,no,0,yes,no,5,2.08,2,0,no,0,0,1,0,negative,20
23,blue-collar,married,secondary,no,94,yes,no,5,3.22,1,0,no,0,0,1,0,low,20
32,technician,single,secondary,no,0,yes,no,5,2.27,1,0,no,0,0,1,0,negative,30
43,services,single,other,no,0,no,no,5,1.22,1,0,no,0,0,0,0,negative,40
32,blue-collar,married,secondary,no,517,yes,no,5,8.8,1,0,no,0,0,1,0,medium,30
46,blue-collar,married,secondary,no,265,yes,no,5,9.02,1,0,no,0,0,1,0,medium,40
53,housemaid,divorced,primary,no,947,yes,no,5,2.72,1,0,no,0,0,1,0,high,50
34,self-employed,single,secondary,no,3,yes,no,5,5.02,1,0,no,0,0,1,0,low,30
57,unemployed,married,tertiary,no,42,no,no,5,0.77,1,0,no,0,0,0,0,low,50
37,blue-collar,married,secondary,no,37,yes,no,5,3.4,1,0,no,0,0,1,0,low,30
59,blue-collar,married,secondary,no,57,yes,no,5,1.63,1,0,no,0,0,1,0,low,50
33,services,married,secondary,no,22,yes,no,5,1.18,1,0,no,0,0,1,0,low,30
56,blue-collar,divorced,primary,no,8,yes,no,5,2.62,2,0,no,0,0,1,0,low,50
48,unemployed,married,secondary,no,293,yes,no,5,4.05,1,0,no,0,0,1,0,medium,40
43,services,married,primary,no,3,yes,no,5,3.1,2,0,no,0,0,1,0,low,40
54,blue-collar,married,primary,no,348,yes,no,5,9.65,2,0,no,0,0,1,0,medium,50
51,blue-collar,married,other,no,-19,yes,no,5,2.72,2,0,no,0,0,1,0,negative,50
26,student,single,secondary,no,0,yes,no,5,10.17,2,0,no,0,0,1,0,negative,20
40,management,married,tertiary,no,-4,yes,no,5,33.88,1,0,no,0,0,1,0,negative,40
39,management,married,secondary,no,18,yes,no,5,1.42,1,0,no,0,0,1,0,low,30
50,technician,married,primary,no,139,no,no,5,1.9,2,0,no,0,0,0,0,low,50
41,services,married,secondary,no,0,yes,no,5,1.9,2,0,no,0,0,1,0,negative,40
51,blue-collar,married,other,no,1883,yes,no,5,0.95,1,0,no,0,0,1,0,very high,50
60,retired,divorced,secondary,no,216,yes,no,5,3.97,1,0,no,0,0,1,0,low,60
52,blue-collar,married,secondary,no,782,yes,no,5,1.55,3,0,no,0,0,1,0,high,50
48,blue-collar,married,secondary,no,904,yes,no,5,2.13,2,0,no,0,0,1,0,high,40
48,services,married,other,no,1705,yes,no,5,1.78,1,0,no,0,0,1,0,very high,40
39,technician,single,tertiary,no,47,yes,no,5,3.02,1,0,no,0,0,1,0,low,30
47,services,single,secondary,no,176,yes,no,5,5.05,2,0,no,0,0,1,0,low,40
40,blue-collar,married,secondary,no,1225,yes,no,5,9.3,5,0,no,0,0,1,0,high,40
45,technician,married,secondary,no,86,yes,no,5,4.5,1,0,no,0,0,1,0,low,40
26,admin,single,secondary,no,82,yes,no,5,3.8,1,0,no,0,0,1,0,low,20
52,management,married,tertiary,no,271,yes,no,5,1.65,1,0,no,0,0,1,0,medium,50
54,technician,married,secondary,no,1378,yes,no,5,4.0,1,0,no,0,0,1,0,high,50
54,admin,married,tertiary,no,184,no,no,5,11.22,2,0,yes,1,0,0,0,low,50
50,blue-collar,married,primary,no,0,no,no,5,3.88,3,0,no,0,0,0,0,negative,50
35,blue-collar,married,secondary,no,0,yes,no,5,17.6,1,0,no,0,0,1,0,negative,30
44,services,married,secondary,no,1357,yes,yes,5,4.17,1,0,no,0,0,1,1,high,40
53,entrepreneur,married,other,no,19,yes,no,5,4.2,1,0,no,0,0,1,0,low,50
35,retired,single,primary,no,434,no,no,5,2.3,1,0,no,0,0,0,0,medium,30
60,admin,divorced,secondary,no,92,yes,no,5,2.17,1,0,no,0,0,1,0,low,60
53,admin,divorced,secondary,no,1151,yes,no,5,6.87,1,0,no,0,0,1,0,high,50
48,unemployed,married,secondary,no,41,yes,no,5,2.98,2,0,no,0,0,1,0,low,40
54,services,married,secondary,no,214,yes,no,5,7.63,2,0,no,0,0,1,0,low,50
51,management,married,secondary,no,1161,yes,no,5,11.95,1,0,no,0,0,1,0,high,50
31,services,married,tertiary,no,37,yes,no,5,5.22,1,0,no,0,0,1,0,low,30
35,technician,divorced,secondary,no,787,yes,no,5,11.38,2,0,no,0,0,1,0,high,30
35,services,married,secondary,no,59,yes,no,5,17.95,1,0,no,0,0,1,0,low,30
38,technician,married,secondary,no,253,yes,no,5,6.93,1,0,no,0,0,1,0,low,30
36,admin,married,tertiary,no,211,yes,no,5,2.43,2,0,no,0,0,1,0,low,30
58,retired,married,primary,no,235,yes,no,5,2.78,1,0,no,0,0,1,0,low,50
40,services,divorced,other,no,4384,yes,no,5,5.25,1,0,no,0,0,1,0,very high,40
54,management,married,secondary,no,4080,no,no,5,2.33,1,0,no,0,0,0,0,very high,50
34,blue-collar,single,secondary,no,53,yes,yes,5,5.77,1,0,no,0,0,1,1,low,30
31,management,single,tertiary,no,0,yes,no,5,9.37,1,0,no,0,0,1,0,negative,30
51,retired,married,secondary,no,2127,yes,no,5,2.87,1,0,no,0,0,1,0,very high,50
33,management,married,tertiary,no,377,yes,no,5,3.62,1,0,no,0,0,1,0,medium,30
55,management,married,tertiary,no,73,yes,no,5,2.37,2,0,no,0,0,1,0,low,50
42,admin,married,secondary,no,445,yes,no,5,1.12,1,0,no,0,0,1,0,medium,40
34,blue-collar,married,secondary,no,243,yes,no,5,4.85,1,0,no,0,0,1,0,low,30
33,blue-collar,single,secondary,no,307,yes,no,5,5.15,2,0,no,0,0,1,0,medium,30
38,services,married,secondary,no,155,yes,no,5,4.13,1,0,no,0,0,1,0,low,30
50,technician,divorced,tertiary,no,173,no,yes,5,1.63,1,0,no,0,0,0,1,low,50
43,management,married,tertiary,no,400,yes,no,5,4.27,1,0,no,0,0,1,0,medium,40
61,blue-collar,divorced,primary,no,1428,yes,no,5,1.37,2,0,no,0,0,1,0,high,60
47,admin,married,secondary,no,219,yes,no,5,9.62,1,0,no,0,0,1,0,low,40
48,self-employed,married,tertiary,no,7,yes,no,5,4.77,1,0,no,0,0,1,0,low,40
44,blue-collar,married,secondary,no,575,yes,no,5,7.95,1,0,no,0,0,1,0,medium,40
35,student,single,other,no,298,yes,no,5,10.18,2,0,no,0,0,1,0,medium,30
35,services,married,secondary,no,0,yes,no,5,7.85,1,0,no,0,0,1,0,negative,30
50,services,married,secondary,no,5699,yes,no,5,6.35,2,0,no,0,0,1,0,very high,50
41,management,married,tertiary,no,176,yes,yes,5,0.7,1,0,no,0,0,1,1,low,40
41,management,married,tertiary,no,517,yes,no,5,4.18,1,0,no,0,0,1,0,medium,40
39,services,single,other,no,257,yes,no,5,6.8,1,0,no,0,0,1,0,low,30
42,retired,married,secondary,no,56,yes,no,5,3.58,1,0,no,0,0,1,0,low,40
38,blue-collar,married,secondary,no,-390,yes,no,5,4.78,1,0,no,0,0,1,0,negative,30
53,retired,married,secondary,no,330,yes,no,5,3.6,2,0,no,0,0,1,0,medium,50
59,housemaid,divorced,primary,no,195,no,no,5,6.1,2,0,no,0,0,0,0,low,50
36,services,married,secondary,no,301,yes,no,5,3.5,1,0,no,0,0,1,0,medium,30
54,blue-collar,married,primary,no,-41,yes,no,5,4.8,1,0,no,0,0,1,0,negative,50
40,technician,married,tertiary,no,483,yes,no,5,2.8,1,0,no,0,0,1,0,medium,40
47,other,married,other,no,28,no,no,5,5.63,2,0,no,0,0,0,0,low,40
53,unemployed,married,other,no,13,no,no,5,6.83,3,0,no,0,0,0,0,low,50
46,housemaid,married,primary,no,965,no,no,5,2.95,1,0,no,0,0,0,0,high,40
39,management,married,tertiary,no,378,yes,yes,5,2.12,2,0,no,0,0,1,1,medium,30
40,unemployed,married,secondary,no,219,yes,no,5,5.95,1,0,no,0,0,1,0,low,40
28,blue-collar,married,primary,no,324,yes,no,5,2.92,1,0,no,0,0,1,0,medium,20
35,entrepreneur,divorced,secondary,no,-69,yes,no,5,5.0,1,0,no,0,0,1,0,negative,30
55,retired,married,secondary,no,0,no,yes,5,2.27,1,0,no,0,0,0,1,negative,50
43,technician,divorced,other,no,205,yes,no,5,23.65,1,0,no,0,0,1,0,low,40
48,blue-collar,married,primary,no,278,yes,no,5,2.08,2,0,no,0,0,1,0,medium,40
58,management,married,other,no,1065,yes,no,5,3.55,3,0,no,0,0,1,0,high,50
36,blue-collar,married,other,no,1033,no,no,5,3.97,2,0,no,0,0,0,0,high,30
53,services,divorced,secondary,no,1467,yes,no,5,2.07,1,0,no,0,0,1,0,high,50
31,services,married,secondary,no,388,yes,no,5,12.17,2,0,no,0,0,1,0,medium,30
57,entrepreneur,married,secondary,no,294,yes,no,5,12.43,2,0,no,0,0,1,0,medium,50
53,blue-collar,married,other,no,1827,no,no,5,2.02,1,0,no,0,0,0,0,very high,50
55,blue-collar,married,primary,no,627,yes,no,5,4.12,1,0,no,0,0,1,0,medium,50
45,blue-collar,married,primary,no,25,yes,no,5,0.67,1,0,no,0,0,1,0,low,40
53,admin,divorced,secondary,no,315,yes,no,5,3.02,2,0,no,0,0,1,0,medium,50
37,blue-collar,married,primary,no,0,yes,no,5,1.32,1,0,no,0,0,1,0,negative,30
44,admin,divorced,secondary,no,66,yes,no,5,3.43,1,0,no,0,0,1,0,low,40
49,blue-collar,divorced,primary,no,-9,yes,yes,5,6.48,1,0,no,0,0,1,1,negative,40
46,technician,married,secondary,no,349,yes,yes,5,2.12,1,0,no,0,0,1,1,medium,40
43,entrepreneur,married,other,no,100,yes,no,5,11.7,1,0,no,0,0,1,0,low,40
38,admin,married,secondary,no,0,no,no,5,2.52,1,0,no,0,0,0,0,negative,30
43,technician,married,secondary,no,434,yes,no,5,1.95,1,0,no,0,0,1,0,medium,40
49,management,married,tertiary,no,3237,yes,no,5,3.87,3,0,no,0,0,1,0,very high,40
42,management,married,other,no,275,no,no,5,6.8,2,0,no,0,0,0,0,medium,40
22,blue-collar,single,secondary,no,0,yes,no,5,2.98,2,0,no,0,0,1,0,negative,20
40,management,married,tertiary,no,207,yes,no,5,0.65,1,0,no,0,0,1,0,low,40
39,blue-collar,married,secondary,no,483,yes,no,5,4.7,1,0,no,0,0,1,0,medium,30
51,services,married,secondary,no,2248,yes,no,5,11.9,2,0,no,0,0,1,0,very high,50
49,admin,married,secondary,no,428,yes,no,5,0.83,1,0,no,0,0,1,0,medium,40
53,blue-collar,married,secondary,no,0,yes,yes,5,3.02,1,0,no,0,0,1,1,negative,50
34,services,single,secondary,no,0,yes,no,5,2.37,1,0,no,0,0,1,0,negative,30
33,technician,divorced,secondary,no,140,yes,no,5,3.78,1,0,no,0,0,1,0,low,30
50,management,single,tertiary,no,297,yes,no,5,1.98,1,0,no,0,0,1,0,medium,50
39,blue-collar,married,primary,no,279,yes,no,5,6.02,1,0,no,0,0,1,0,medium,30
59,entrepreneur,divorced,secondary,no,901,yes,no,5,1.22,3,0,no,0,0,1,0,high,50
30,technician,single,secondary,no,2573,yes,no,5,1.12,2,0,no,0,0,1,0,very high,30
36,services,married,secondary,no,143,yes,yes,5,5.83,1,0,no,0,0,1,1,low,30
40,blue-collar,married,secondary,no,475,yes,no,5,5.53,2,0,no,0,0,1,0,medium,40
53,blue-collar,married,secondary,no,70,yes,no,5,10.18,2,0,no,0,0,1,0,low,50
34,management,single,tertiary,no,318,yes,no,5,1.88,2,0,no,0,0,1,0,medium,30
37,technician,married,secondary,no,275,yes,no,5,2.2,1,0,no,0,0,1,0,medium,30
42,management,divorced,tertiary,no,742,yes,no,5,0.97,3,0,no,0,0,1,0,high,40
41,entrepreneur,married,primary,no,236,yes,no,5,2.52,1,0,no,0,0,1,0,low,40
30,student,single,tertiary,no,25,yes,no,5,1.48,2,0,no,0,0,1,0,low,30
37,management,single,tertiary,no,600,yes,no,5,2.53,1,0,no,0,0,1,0,medium,30
39,admin,divorced,secondary,no,-349,yes,no,5,10.18,2,0,no,0,0,1,0,negative,30
41,blue-collar,married,primary,no,183,yes,yes,5,1.83,2,0,no,0,0,1,1,low,40
40,blue-collar,married,primary,no,0,yes,no,5,7.72,1,0,no,0,0,1,0,negative,40
42,management,single,tertiary,no,0,yes,yes,5,9.37,2,0,yes,1,0,1,1,negative,40
40,blue-collar,divorced,primary,no,0,yes,no,5,16.03,1,0,no,0,0,1,0,negative,40
56,entrepreneur,divorced,secondary,no,155,no,no,5,1.97,3,0,no,0,0,0,0,low,50
37,admin,married,secondary,no,190,yes,no,5,1.53,2,0,no,0,0,1,0,low,30
59,retired,married,secondary,no,319,yes,no,5,2.38,3,0,no,0,0,1,0,medium,50
39,services,divorced,secondary,no,-185,yes,no,5,3.15,3,0,no,0,0,1,0,negative,30
49,services,married,secondary,no,47,no,no,5,3.9,2,0,no,0,0,0,0,low,40
38,services,single,secondary,no,570,yes,no,5,1.25,2,0,no,0,0,1,0,medium,30
36,self-employed,married,tertiary,no,19,no,no,5,3.15,2,0,no,0,0,0,0,low,30
50,blue-collar,married,primary,no,61,yes,no,5,10.35,3,0,no,0,0,1,0,low,50
41,admin,married,secondary,no,-62,yes,yes,5,0.92,2,0,no,0,0,1,1,negative,40
54,technician,married,tertiary,no,258,no,no,5,5.17,4,0,no,0,0,0,0,low,50
58,blue-collar,married,primary,no,76,yes,no,5,2.6,2,0,no,0,0,1,0,low,50
33,admin,single,secondary,no,352,yes,no,5,3.75,2,0,no,0,0,1,0,medium,30
47,admin,married,secondary,no,368,yes,no,5,2.08,2,0,no,0,0,1,0,medium,40
32,blue-collar,married,secondary,no,1331,yes,no,5,4.77,2,0,no,0,0,1,0,high,30
40,self-employed,married,secondary,no,672,yes,no,5,2.73,2,0,no,0,0,1,0,high,40
37,management,married,tertiary,no,58,yes,no,5,1.63,2,0,no,0,0,1,0,low,30
54,technician,single,other,no,447,yes,no,5,12.37,2,0,no,0,0,1,0,medium,50
24,student,single,secondary,no,423,yes,no,5,3.77,3,0,no,0,0,1,0,medium,20
54,management,married,tertiary,no,0,no,no,5,2.0,2,0,no,0,0,0,0,negative,50
34,technician,married,secondary,no,19,yes,no,5,6.03,4,0,no,0,0,1,0,low,30
56,technician,divorced,primary,no,13,yes,no,5,5.95,2,0,no,0,0,1,0,low,50
31,blue-collar,single,secondary,no,3,yes,no,5,3.33,2,0,no,0,0,1,0,low,30
24,student,single,secondary,no,82,yes,no,5,3.4,2,0,no,0,0,1,0,low,20
42,blue-collar,divorced,primary,no,28,yes,no,5,2.1,3,0,no,0,0,1,0,low,40
57,technician,married,secondary,no,792,yes,no,5,1.08,2,0,no,0,0,1,0,high,50
42,blue-collar,married,other,no,408,yes,no,5,1.78,2,0,no,0,0,1,0,medium,40
51,admin,married,secondary,no,531,yes,no,5,4.45,2,0,no,0,0,1,0,medium,50
57,retired,married,secondary,no,211,yes,no,5,4.13,2,0,no,0,0,1,0,low,50
36,services,single,secondary,no,62,yes,no,5,3.58,2,0,no,0,0,1,0,low,30
53,services,married,other,no,257,yes,no,5,3.48,2,0,no,0,0,1,0,low,50
50,technician,married,secondary,no,1234,yes,no,5,3.42,2,0,no,0,0,1,0,high,50
54,management,married,tertiary,no,313,yes,no,5,1.38,2,0,no,0,0,1,0,medium,50
55,blue-collar,married,secondary,no,89,yes,no,5,1.77,3,0,no,0,0,1,0,low,50
44,blue-collar,married,secondary,no,129,yes,yes,5,3.15,2,0,no,0,0,1,1,low,40
43,management,married,other,no,0,yes,no,5,1.75,2,0,no,0,0,1,0,negative,40
56,admin,married,secondary,no,353,yes,no,5,1.77,2,0,no,0,0,1,0,medium,50
54,technician,married,other,no,851,yes,no,5,1.8,2,0,no,0,0,1,0,high,50
55,services,divorced,primary,no,96,yes,yes,5,5.18,2,0,no,0,0,1,1,low,50
37,services,divorced,secondary,no,398,yes,yes,5,3.57,2,0,no,0,0,1,1,medium,30
33,admin,single,tertiary,no,193,no,no,5,2.2,2,0,no,0,0,0,0,low,30
46,admin,married,secondary,no,-358,yes,no,5,5.97,2,0,no,0,0,1,0,negative,40
